epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,911.488,1.00844,0.65813,0.01898,0.71835,0.62176,0.68562,0.45822,1.16625,1.05331,0.02927,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,939.202,1.01349,0.66049,0.01894,0.71584,0.66282,0.71264,0.48216,1.10148,0.95303,0.02745,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,967.525,1.01045,0.6553,0.01886,0.72707,0.65214,0.70892,0.46661,1.13884,0.99706,0.02859,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,995.447,1.00313,0.64808,0.01879,0.73566,0.66011,0.70483,0.45786,1.17444,1.03898,0.02947,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1023.22,0.99525,0.64243,0.01865,0.69691,0.62361,0.67246,0.43431,1.18305,1.15096,0.02991,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1050.94,0.99686,0.6342,0.0187,0.69987,0.65929,0.69877,0.4621,1.14748,1.05072,0.02881,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1079.14,1.00445,0.63713,0.01879,0.72809,0.65438,0.70693,0.4717,1.12422,1.04263,0.02819,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1106.89,0.98571,0.63517,0.01834,0.72787,0.66783,0.71776,0.48071,1.11023,0.92828,0.02761,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1134.52,0.99032,0.62768,0.01838,0.72954,0.61403,0.68944,0.46166,1.12889,1.14006,0.02839,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1162.18,0.9806,0.61987,0.01823,0.74467,0.64863,0.71831,0.46934,1.16674,1.0023,0.0294,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1190.82,0.97655,0.6145,0.01817,0.71499,0.67215,0.71209,0.46615,1.12985,0.97037,0.02824,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1218.57,0.98189,0.62086,0.01825,0.74083,0.67168,0.72263,0.47582,1.1121,0.94992,0.0277,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1246.27,0.97693,0.60814,0.01819,0.76139,0.67303,0.72897,0.48536,1.11346,0.95064,0.02762,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1274.7,0.97165,0.60814,0.0181,0.75455,0.67443,0.73482,0.49382,1.13005,0.97845,0.0281,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1303.04,0.96497,0.60496,0.01788,0.7186,0.65618,0.71043,0.46647,1.13969,1.00806,0.02849,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1330.74,0.9644,0.60494,0.01789,0.73218,0.65245,0.69985,0.46617,1.14753,1.0747,0.02893,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1358.33,0.96299,0.59177,0.01783,0.7164,0.67569,0.71288,0.47423,1.13479,1.02261,0.02832,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1386.39,0.95268,0.59282,0.01757,0.74748,0.68785,0.73949,0.49558,1.1021,0.89386,0.02729,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1414.96,0.95453,0.58107,0.01766,0.74716,0.66388,0.71906,0.4841,1.13023,1.01002,0.02832,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1442.71,0.9461,0.58305,0.01746,0.74752,0.66127,0.71799,0.47505,1.14247,1.03477,0.02871,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1471.01,0.94352,0.57878,0.01742,0.7643,0.66078,0.72015,0.48072,1.12402,1.00161,0.02795,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1498.7,0.94298,0.5707,0.01751,0.75291,0.66747,0.72789,0.48509,1.10588,0.95922,0.02748,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1526.46,0.94317,0.56679,0.01735,0.75706,0.6799,0.73171,0.48824,1.11141,0.97586,0.02756,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1554.02,0.94264,0.56596,0.01732,0.74022,0.65361,0.7012,0.46827,1.12696,1.0454,0.02809,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1581.7,0.93463,0.56313,0.01731,0.74505,0.67465,0.72502,0.4855,1.11725,1.00085,0.02783,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1609.38,0.93022,0.56198,0.01711,0.73195,0.67367,0.72383,0.48497,1.11938,0.99302,0.02774,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1637.46,0.91851,0.54911,0.01688,0.74061,0.67909,0.72938,0.47576,1.16094,1.00609,0.02927,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1665.24,0.91754,0.5474,0.01698,0.74411,0.66837,0.71999,0.47978,1.11465,0.99551,0.02781,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1692.96,0.92298,0.54548,0.01693,0.76838,0.67932,0.74206,0.50043,1.12537,0.95492,0.02823,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1721.22,0.91516,0.54467,0.0166,0.7301,0.67757,0.71888,0.48322,1.12032,1.01207,0.0277,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1749.45,0.90897,0.55113,0.01666,0.74605,0.67136,0.72349,0.47564,1.15823,1.02167,0.02911,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1777.09,0.90234,0.53138,0.01652,0.7347,0.67408,0.70998,0.47246,1.13645,1.04459,0.02848,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1804.71,0.8914,0.5298,0.0163,0.74903,0.66549,0.71,0.47749,1.12269,1.04317,0.02798,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1832.66,0.89134,0.52273,0.01626,0.75397,0.67777,0.72691,0.4907,1.1202,0.99672,0.02784,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1860.27,0.89148,0.51814,0.01628,0.7538,0.67036,0.71237,0.47489,1.14592,1.02616,0.02886,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1887.8,0.88575,0.52331,0.01614,0.75364,0.68268,0.71831,0.47759,1.15064,1.03043,0.029,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1915.5,0.87564,0.50937,0.01596,0.76025,0.67544,0.72189,0.48199,1.13988,1.01462,0.02854,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1943.17,0.87563,0.49826,0.0159,0.7676,0.66235,0.71684,0.47722,1.16186,1.03436,0.02932,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1970.61,0.86469,0.49175,0.01566,0.75737,0.68198,0.71947,0.48347,1.14073,1.00703,0.02863,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1998.3,0.86202,0.49481,0.01569,0.76848,0.66868,0.72639,0.48509,1.13412,0.98483,0.02841,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2026.51,0.86223,0.48834,0.01559,0.76775,0.6762,0.72665,0.48514,1.13649,1.01955,0.02847,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2054.4,0.85741,0.49173,0.01545,0.74864,0.67311,0.70771,0.47147,1.15414,1.04669,0.02906,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2081.92,0.8485,0.47573,0.01537,0.75325,0.67703,0.70999,0.4736,1.14552,1.05155,0.02881,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2109.36,0.84201,0.47929,0.0153,0.7639,0.67283,0.71104,0.47597,1.15521,1.04316,0.02906,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2136.92,0.83727,0.4794,0.01509,0.75115,0.69173,0.71792,0.48254,1.143,1.03505,0.02867,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2164.78,0.82916,0.472,0.0149,0.7574,0.68415,0.71433,0.48133,1.14386,1.04487,0.0287,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2192.17,0.82367,0.46279,0.01483,0.74978,0.68126,0.71024,0.47657,1.15088,1.05778,0.02892,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2219.57,0.81649,0.44886,0.01466,0.75764,0.67894,0.71426,0.47927,1.15591,1.04737,0.02914,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2247.1,0.81351,0.45021,0.01454,0.77024,0.66047,0.70333,0.47009,1.15584,1.07989,0.02907,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
