model,framework,stage,scope,precision,recall,f1,mAP50,mAP50-95,latency_ms_mean,latency_ms_median,latency_ms_p95,fps
RT-DETR-L,Ultralytics,epoch 4,overall,0.7331955956302291,0.6329253754725729,0.6681043340489099,0.6917675045046385,0.39272292374051015,11.659094090340659,11.637724994216114,11.74649206805043,85.76995710399844
RT-DETR-L,Ultralytics,epoch 4,lie,0.8844324841124982,0.679579008916825,0.768589941551981,0.7947255971256469,0.4487083892825748,11.659094090340659,11.637724994216114,11.74649206805043,85.76995710399844
RT-DETR-L,Ultralytics,epoch 4,sit,0.7478167306312162,0.7193668860039125,0.733315975882503,0.7811746762836685,0.45061023044077925,11.659094090340659,11.637724994216114,11.74649206805043,85.76995710399844
RT-DETR-L,Ultralytics,epoch 4,other,0.6895623786707382,0.39456603062088,0.5019292701597666,0.5113156967795228,0.3411664663434696,11.659094090340659,11.637724994216114,11.74649206805043,85.76995710399844
RT-DETR-L,Ultralytics,epoch 4,off_bed,0.6109707891064637,0.7381895763486742,0.6685821486013889,0.6798540478297158,0.33040660889521706,11.659094090340659,11.637724994216114,11.74649206805043,85.76995710399844
RTMDet-s,MMDetection,epoch 14,overall,0.7505771578637785,0.6660020372430238,0.6989727128727049,0.7423601945217673,0.45167270118804376,12.04904638727506,12.021083966828883,12.195769022218883,82.99411985467125
RTMDet-s,MMDetection,epoch 14,lie,0.872412562455389,0.7146615991814063,0.7856970670952189,0.8604328344425912,0.48687172079324376,12.04904638727506,12.021083966828883,12.195769022218883,82.99411985467125
RTMDet-s,MMDetection,epoch 14,sit,0.7211701048359824,0.7584919082340388,0.7393603189737366,0.7942202695281857,0.5175731344692662,12.04904638727506,12.021083966828883,12.195769022218883,82.99411985467125
RTMDet-s,MMDetection,epoch 14,other,0.7152658662092625,0.45723684210526316,0.5578595317725753,0.5437506996805457,0.36046538125701794,12.04904638727506,12.021083966828883,12.195769022218883,82.99411985467125
RTMDet-s,MMDetection,epoch 14,off_bed,0.6934600979544799,0.7336177994513867,0.712973933649289,0.7710369744357468,0.44178056823264694,12.04904638727506,12.021083966828883,12.195769022218883,82.99411985467125
DINO 4-scale R50,MMDetection,iteration 200,overall,0.6864802054490262,0.6128998161919774,0.6300043506268411,0.6807093058187373,0.4375456520132751,24.378058635862544,23.938846483360976,28.97500593680862,41.02049367167001
DINO 4-scale R50,MMDetection,iteration 200,lie,0.6734551379029443,0.8459289577547142,0.7499028119735649,0.8397621329389628,0.5332816062212139,24.378058635862544,23.938846483360976,28.97500593680862,41.02049367167001
DINO 4-scale R50,MMDetection,iteration 200,sit,0.6782217942545338,0.7515561088386982,0.7130082672515607,0.7642783044202376,0.5312810431232323,24.378058635862544,23.938846483360976,28.97500593680862,41.02049367167001
DINO 4-scale R50,MMDetection,iteration 200,other,0.5465587044534413,0.29605263157894735,0.38406827880512096,0.37943001437557017,0.27333829866705595,24.378058635862544,23.938846483360976,28.97500593680862,41.02049367167001
DINO 4-scale R50,MMDetection,iteration 200,off_bed,0.8476851851851852,0.5580615665955502,0.6730380444771182,0.7393667715401789,0.4122816600415982,24.378058635862544,23.938846483360976,28.97500593680862,41.02049367167001
Faster R-CNN R50-FPN,MMDetection,epoch 1,overall,0.7508053761471339,0.6491984668318167,0.6403334395703754,0.7226839051660653,0.4117463630105291,13.035776384174824,12.81969650881365,13.015598588390276,76.7119633329995
Faster R-CNN R50-FPN,MMDetection,epoch 1,lie,0.6758025769818737,0.9046922964478877,0.7736733545846615,0.897269068959676,0.48201420170190185,13.035776384174824,12.81969650881365,13.015598588390276,76.7119633329995
Faster R-CNN R50-FPN,MMDetection,epoch 1,sit,0.7136803874092009,0.8386982038057976,0.7711552612214864,0.8337583858770921,0.4861786722994284,13.035776384174824,12.81969650881365,13.015598588390276,76.7119633329995
Faster R-CNN R50-FPN,MMDetection,epoch 1,other,0.828125,0.17434210526315788,0.2880434782608695,0.38671340670263576,0.2639793700423137,13.035776384174824,12.81969650881365,13.015598588390276,76.7119633329995
Faster R-CNN R50-FPN,MMDetection,epoch 1,off_bed,0.7856135401974612,0.6790612618104237,0.7284616642144842,0.7729947591248567,0.41481320799847254,13.035776384174824,12.81969650881365,13.015598588390276,76.7119633329995
